日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/04/11,"18,450,771","2,451,482,093",134.15,134.45,132.2,132.45,-2.1,"38,851"
111/04/12,"15,367,279","2,032,841,606",132.15,132.85,131.6,132.55,0.1,"25,468"
111/04/13,"7,246,152","975,028,417",133.4,135.2,133.2,135.05,2.5,"8,734"
111/04/14,"5,235,079","705,835,063",135.75,135.75,134.55,134.55,-0.5,"7,392"
111/04/15,"22,334,668","2,955,902,166",132.85,133.05,132.0,132.25,-2.3,"37,007"
111/04/18,"19,495,870","2,565,078,259",132.0,132.25,131.15,131.55,-0.7,"33,455"
111/04/19,"9,433,361","1,248,058,966",132.25,132.95,131.85,132.0,0.45,"11,022"
111/04/20,"7,104,382","939,528,194",132.2,132.7,131.65,132.65,0.65,"10,235"
111/04/21,"4,226,570","562,769,738",133.25,133.6,132.65,132.75,0.1,"6,277"
111/04/22,"12,398,307","1,626,054,746",131.4,131.75,130.85,131.6,-1.15,"24,219"
111/04/25,"35,058,202","4,525,920,924",130.0,130.05,128.65,129.25,-2.35,"58,198"
111/04/26,"10,361,395","1,339,825,860",129.75,129.8,128.85,129.25,0.0,"20,563"
111/04/27,"31,244,250","3,953,298,339",127.0,127.0,126.05,126.55,-2.7,"50,065"
111/04/28,"12,311,754","1,559,363,486",127.35,127.4,125.95,127.1,0.55,"16,772"
111/04/29,"12,271,215","1,582,008,363",128.9,129.5,128.25,128.75,1.65,"12,017"
111/05/03,"7,021,550","898,507,584",128.55,128.7,127.45,127.8,-0.95,"16,878"
111/05/04,"10,324,829","1,319,173,779",128.3,128.45,127.5,127.8,0.0,"14,820"
111/05/05,"6,508,490","841,880,402",129.5,129.8,128.95,129.25,1.45,"9,252"
111/05/06,"18,804,033","2,373,840,312",126.45,126.85,125.95,126.65,-2.6,"37,094"
111/05/09,"14,256,432","1,778,657,382",125.5,125.55,124.5,124.55,-2.1,"30,644"
111/05/10,"14,865,244","1,826,485,304",122.15,124.1,121.55,124.0,-0.55,"24,937"
111/05/11,"8,458,090","1,047,528,803",123.85,124.45,123.3,124.2,0.2,"11,241"
111/05/12,"13,693,487","1,672,599,238",123.0,123.0,121.2,121.25,-2.95,"36,619"
111/05/13,"7,332,122","894,972,932",122.1,122.35,121.55,122.35,1.1,"9,914"
111/05/16,"6,085,859","750,214,036",123.45,124.0,122.5,123.0,0.65,"11,536"
111/05/17,"4,399,419","545,917,041",123.15,124.5,123.15,124.35,1.35,"7,213"
111/05/18,"6,600,381","829,207,469",125.35,126.0,125.25,125.7,1.35,"9,484"
111/05/19,"7,894,711","972,266,714",123.45,123.8,122.65,123.3,-2.4,"15,517"
111/05/20,"3,867,232","481,189,963",123.75,124.95,123.65,124.65,1.35,"6,285"
111/05/23,"2,859,330","357,757,749",125.3,125.6,124.5,124.9,0.25,"5,281"
111/05/24,"5,469,914","678,348,751",125.0,125.2,123.4,123.5,-1.4,"10,831"
111/05/25,"2,724,739","338,285,381",123.7,124.7,123.45,124.45,0.95,"5,121"
111/05/26,"6,240,375","771,156,008",125.0,125.0,122.85,122.9,-1.55,"11,824"
111/05/27,"11,895,801","1,491,077,052",124.15,125.8,124.05,125.5,2.6,"10,471"
111/05/30,"14,840,687","1,896,337,486",127.25,128.6,127.05,128.55,3.05,"13,098"
111/05/31,"7,233,052","930,745,401",128.45,129.8,127.6,129.8,1.25,"8,069"
111/06/01,"6,730,117","872,404,015",129.3,130.05,129.0,129.15,-0.65,"8,809"
111/06/02,"4,721,923","604,071,385",128.45,128.45,127.6,127.8,-1.35,"7,275"
111/06/06,"4,292,361","550,968,083",128.25,129.0,127.45,128.7,0.9,"8,948"
111/06/07,"5,160,242","656,817,533",127.95,127.95,126.85,127.4,-1.3,"9,097"
111/06/08,"4,110,313","529,293,647",128.5,129.1,128.15,128.8,1.4,"4,841"
111/06/09,"2,056,798","263,676,687",128.2,128.5,127.65,128.4,-0.4,"3,858"
111/06/10,"4,616,549","585,983,475",126.8,127.4,126.4,127.1,-1.3,"10,027"
111/06/13,"18,437,079","2,280,313,744",124.1,124.25,123.45,123.55,-3.55,"32,400"
111/06/14,"12,474,631","1,529,735,542",122.6,123.55,122.1,123.35,-0.2,"17,066"
111/06/15,"9,373,128","1,153,315,986",123.0,123.6,122.65,122.75,-0.6,"15,559"
111/06/16,"13,116,110","1,620,183,258",124.1,125.0,122.25,122.5,-0.25,"14,401"
111/06/17,"21,263,720","2,569,840,589",121.0,121.5,120.4,120.85,-1.65,"35,146"
111/06/20,"11,621,643","1,395,030,566",120.9,120.95,119.5,119.75,-1.1,"23,697"
111/06/21,"6,691,755","812,035,105",120.95,122.2,120.35,122.2,2.45,"8,127"
111/06/22,"16,172,586","1,939,003,203",121.7,121.7,119.35,119.5,-2.7,"24,790"
111/06/23,"18,053,581","2,134,106,169",119.8,119.8,117.25,117.9,-1.6,"28,068"
111/06/24,"11,166,572","1,324,805,066",118.65,119.3,117.95,118.15,0.25,"10,504"
111/06/27,"16,926,661","2,049,732,101",119.8,121.45,119.8,120.95,2.8,"17,198"
111/06/28,"11,140,021","1,333,751,369",120.8,120.8,119.25,119.8,-1.15,"13,216"
111/06/29,"6,670,681","793,045,377",118.7,119.55,118.5,118.8,-1.0,"10,563"
111/06/30,"22,064,782","2,563,829,835",117.7,117.8,115.5,115.8,-3.0,"36,330"
111/07/01,"36,878,756","4,168,809,309",115.65,115.65,111.2,111.55,-4.25,"51,585"
111/07/04,"27,456,531","3,044,859,233",111.25,112.2,110.0,110.45,-1.10,"28,717"
111/07/05,"17,050,908","1,887,614,040",112.55,112.95,109.0,111.0,+0.55,"21,122"
111/07/06,"16,720,163","1,831,687,490",111.0,111.05,108.45,108.85,-2.15,"28,951"
111/07/07,"13,797,274","1,529,508,284",109.45,112.15,108.55,112.1,+3.25,"13,307"
111/07/08,"10,632,316","1,204,020,139",113.3,113.9,112.3,113.25,+1.15,"13,149"
111/07/11,"8,031,808","904,913,578",113.65,113.7,111.85,112.25,-1.00,"12,407"
111/07/12,"12,036,545","1,321,731,606",110.95,110.95,109.15,109.55,-2.70,"20,560"
111/07/13,"25,339,925","2,868,407,778",113.0,113.65,112.6,113.45,+3.90,"18,017"
111/07/14,"15,117,665","1,713,783,782",112.7,114.25,111.8,114.0,+0.55,"12,765"
111/07/15,"19,084,676","2,192,351,516",114.6,115.65,113.75,115.5,+1.50,"16,864"
111/07/18,"22,677,308","2,593,194,353",114.65,114.85,113.95,114.2,X0.00,"21,124"
111/07/19,"13,479,392","1,540,004,175",113.95,114.65,113.6,114.3,+0.10,"13,416"
111/07/20,"17,257,016","1,993,667,626",115.85,116.2,114.7,115.05,+0.75,"15,086"
111/07/21,"9,016,500","1,043,315,930",115.4,116.35,115.0,116.35,+1.30,"8,960"
